product_id,domain,impersonate,url,http_status,success,name,sku,price,currency,image,category,description,error
100014,www.glamira.al,chrome131,https://www.glamira.al/catalog/product/view/id/100014,200,True,Engagement Ring Verona,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/verona-layer11/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg,,Buy 2.68 Carat Emerald Cut cut 585 i bardhë Brilant Engagement Ring Verona online at GLAMIRA. ✓60-day return policy ☆Customize and order your own now.,
100037,www.glamira.ie,chrome131,https://www.glamira.ie/catalog/product/view/id/100037,200,True,Women's Pendant Frodine,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/frodine-n/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg,,Purchase 0.65 Carat Pear cut 14ct Yellow Gold Diamond Women's Pendant Frodine now at GLAMIRA ✓High quality jewellery ☆Personalise and buy your own,
100027,www.glamira.cn,firefox144,https://www.glamira.cn/catalog/product/view/id/100027,200,True,女士吊坠 Bertina,,,,https://cdn.glamira.cn/media/product/newgeneration/view/1/sku/23030bertina/diamond/diamond-zirconia_AAAAA/stone2/diamond-zirconia_AAAAA/alloycolour/red.jpg,,现在GLAMIRA.cn网站购买 1.25 重量 圆形 玫瑰金-14k 化锆 女士吊坠 Bertina 即可免运费！,
100042,www.glamira.al,edge101,https://www.glamira.al/catalog/product/view/id/100042,200,True,Women's Pendant Lovissa,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lovissa-n1/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg,,Buy 0.056 Carat Round cut 585 i bardhë Brilant Women's Pendant Lovissa online at GLAMIRA. ✓60-day return policy ☆Customize and order your own now.,
100036,www.glamira.com.bo,chrome120,https://www.glamira.com.bo/catalog/product/view/id/100036,200,True,Colgante de Mujer Flede,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/23030flede/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg,,Compre su Colgante de Mujer Flede en Redondo talla 0.8 Quilates 9k Oro Blanco Diamante online en GLAMIRA. ✓Política de devoluciones de 60 días ☆Personalícelo y pídalo ahora.,
100025,www.glamira.sg,chrome123,https://www.glamira.sg/catalog/product/view/id/100025,200,True,Women's Necklace Audrisa,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/audrisa-n/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg,,Women's Necklace Audrisa in 1.09 Carat Oval cut 14ct White Gold Diamond at GLAMIRA | Online Shopping | Free Engraving | Finest Jewellery | Free Shipping,
100044,www.glamira.cn,chrome120,https://www.glamira.cn/catalog/product/view/id/100044,200,True,女士吊坠 Marlisa,,,,https://cdn.glamira.cn/media/product/newgeneration/view/1/sku/marlisa-n/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg,,现在GLAMIRA.cn网站购买 0.36 重量 椭圆形 白色K金-9k 实验室培育钻石 女士吊坠 Marlisa 即可免运费！,
100048,www.glamira.cn,chrome120,https://www.glamira.cn/catalog/product/view/id/100048,200,True,女士吊坠 Rudelle,,,,https://cdn.glamira.cn/media/product/newgeneration/view/1/sku/rudelle-n/diamond/emerald_AA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg,,现在GLAMIRA.cn网站购买 1.09 重量 椭圆形 白色K金-18k 绿宝石 女士吊坠 Rudelle 即可免运费！,
100055,www.glamira.com.tr,firefox135,https://www.glamira.com.tr/catalog/product/view/id/100055,200,True,Kadın Küpe Afshan,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Afshan/diamond/ruby_AAA/alloycolour/white.jpg,,Kadın Küpe Afshan 9 Ayar Beyaz Altın - Yakut modelini kendi zevkinize göre tasarlayın. Sipariş üzerine özenle üretilir. 60 gün iade hakkı ve güvenli alışveriş güvencesi.,
100040,www.glamira.ie,chrome124,https://www.glamira.ie/catalog/product/view/id/100040,200,True,GLAMIRA Pendant Karlin,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/karlin-n/diamond/diamond-zirconia_AAAAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg,,Purchase 0.144 Carat Round cut 950 Platinum Zirconia GLAMIRA Pendant Karlin now at GLAMIRA ✓High quality jewellery ☆Personalise and buy your own,
100034,www.glamira.com.uy,firefox135,https://www.glamira.com.uy/catalog/product/view/id/100034,200,True,Colgante de Mujer Elise,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/elise-n/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg,,Compre su Colgante de Mujer Elise en corte Redondo 2 Quilates 18k Oro Amarillo Diamante online en GLAMIRA. ✓Política de devoluciones de 60 días ☆Personalícelo y pídalo ahora.,
100068,www.glamira.ie,chrome133a,https://www.glamira.ie/catalog/product/view/id/100068,200,True,Women's Earring Arikal,,,,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Arikal/diamond/ruby_AAA/alloycolour/red.jpg,,Purchase 0.394 Carat Round cut 18ct Rose Gold Ruby Women's Earring Arikal now at GLAMIRA ✓High quality jewellery ☆Personalise and buy your own,
